index,country,continent,sub-region,clean fuels for cooking (% of population),Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Agricultural irrigated land (% of total agricultural land),Agricultural land (% ),Arable land (% of land area),Arable land (hectares per person),Armed forces (% labor force),"Armed forces personnel, total",precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)","Children in employment, total (% of children ages 7-14)",Children out of school (% of primary school age),Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),"Death rate, crude (per 1,000 people)",doing business score,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Electric power consumption (kWh per capita),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Fertility rate, total (births per woman)",GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",Human capital index (HCI) (scale 0-1),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)",Level of water stress,"Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Military expenditure (% of GDP),Population density,Population growth (annual %),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Rural population (% of total population),Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,free,partly free,not free,OCDE,immigration_flow,immigration_100k
0,Afghanistan,Asia,Southern Asia,32.55714285714286,95.31428571428572,0.0,6.1023588744206085,58.43227958586038,11.936411563843604,0.20873653605635292,2.9887027963485786,272380.0,327.0,36.52957142857143,0.0,0.0,0.0,145.1844660031815,-1.37209139764309,28.85,7.034142857142858,41.0836625,1.0251353283723204,20.7471957206726,0.0,43.746325,22.04379,0.0,4.882714285714286,18640801461.93698,-2.0763845361930198,491.43276622839795,2578.6760561266883,0.39425779430071534,3.0720912812537557,6.339003375013942,54.7570194384,62.89057142857143,3.617524324623786,1.2110839937719184,57.963106791863524,2.5400326470300474,42.18739259487547,10.931371584857525,38261462.625,74.074,8.5,0.014599999999999998,11.936625,20.0,3.294,0,0,1,0,84360,220.48294605674394
1,Albania,Europe,Southern Europe,81.7,99.97142857142856,2.824656240642072,15.210061242129136,42.44810740354536,22.164994786235663,0.21338471652682744,0.6192206124647841,8500.0,1485.0,10.522857142857143,76.74011512994672,0.0,4.307717511430385,122.31493747525387,-0.4943975321948527,11.65,9.468142857142857,66.4356775,14.23537302017215,97.32564671834308,0.0,57.60767,23.46594,18.974315,1.4374285714285713,13129725458.694075,3.452330422177763,4645.446923805241,15407.970158099299,0.6279724068641663,2.7310710773508826,2.2919863329843966,5.863381410266666,78.09400000000001,0.00993410770667744,1.268485207559495,103.73998435870699,-0.5987406367384506,28.053076493568362,0.0,2830412.625,38.395625,4.75,4.99,12.026625,37.0,1.809,0,1,0,0,5740,202.79728649104652
2,Algeria,Africa,North Africa,99.68571428571428,99.64285714285714,2.75701999664307,3.1842342291087604,17.347772694728054,3.1488436819956496,0.17501391229613142,2.5818297003745396,318840.0,89.0,23.117142857142856,0.0,0.0,0.3756687473505735,159.80770877682363,-0.6397260054945946,11.675,4.594428571428572,47.35807,0.0,64.0072479248047,0.0,0.0,0.0,0.0,2.967428571428571,201102597215.91946,1.7749999999999932,4615.825547883958,15014.315117060292,0.5298501246770223,5.804931552161454,1.3776251183677382,136.57895971105,75.99628571428572,0.268670628742331,6.111140604887735,18.15119875994673,1.7854682191543336,8.61307879942877,6.32111553758264,43598049.875,26.579625,18.0,0.594,12.291500000000001,36.0,2.11,0,0,1,0,41860,96.01346876756377
3,American Samoa,Oceania,Oceania,0.0,0.0,0.0,0.0,14.178571428571429,4.742857142857143,0.018670121797512953,0.0,0.0,0.0,14.366666666666667,0.0,0.0,0.0,0.0,1.4436683654785163,0.0,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644083751.3631407,-0.15990649065687584,12809.947037129028,0.0,0.0,0.0,10.249546092320475,0.0,0.0,0.0,0.0,251.6257142857143,-1.3351956842695272,0.0,0.0,49974.625,12.822375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
4,Andorra,Europe,Southern Europe,100.0,100.0,7.136008828878401,0.0,39.98899696048632,1.6777203647416414,0.010544686184953066,0.0,0.0,0.0,7.300000000000001,0.0,0.0,6.742503739893436,0.0,1.2191364616155624,0.0,4.3,0.0,11.80499982833865,97.83499908447266,0.0,21.657373333333336,24.68047,5.737136666666667,0.0,2968114171.6113214,2.1138836261771825,38688.475250438314,62159.042308161755,0.0,0.0,2.57400257400257,0.0,0.0,0.0,0.0,162.01489361702127,1.4198740566546348,0.0,0.0,76735.625,12.024624999999999,0.0,10.814,0.0,0.0,0.0,1,0,0,0,0,0.0
5,Angola,Africa,Central Africa,49.028571428571425,45.614285714285714,0.0,0.0,36.77720610984427,4.300839931705417,0.16885296235348246,0.9069651761646051,117000.0,1010.0,39.77542857142857,0.0,0.0,0.0,468.08305875508063,-0.9987621381878848,15.774999999999999,8.041571428571428,39.7873725,0.01033555809408425,72.16603088378905,0.0,0.0,0.0,0.0,5.447285714285714,85465069266.88338,-0.6423606929019616,2613.3129807742635,8115.769760039502,0.36119878244400033,22.534251641990462,4.10224812286562,1.8718832891000001,61.885285714285715,1.417510557895182,1.8279399346082112,25.978215173773044,3.32889169528499,37.57994139425166,24.9683323968041,32932399.0,33.533375,36.0,6.029999999999999,15.988,33.0,2.043,0,0,1,0,980,2.975792926594871
6,Antigua and Barbuda,Latin America & Caribbean ,Latin America & Caribbean ,100.0,100.0,1.1929367613047366,0.0,20.454545454545457,9.090909090909092,0.0438853561866813,0.0,36.0,1030.0,11.715428571428571,0.0,0.0,0.9509566277265545,118.45212945675951,0.3034779131412506,8.775,5.925714285714286,59.6853925,0.0,90.0956573486328,0.0,0.0,0.0,0.0,1.5015714285714286,1566374226.8331797,2.4133071545988654,17092.49149991689,27368.78945278154,0.586960434913635,2.483595887771015,13.035831169479502,8.4615384615,78.59942857142858,0.0296589988331737,0.0,207.71493506493508,0.5346279339372909,0.0,0.0,91634.75,75.480625,21.25,7.934,0.0,0.0,0.0,1,0,0,0,735,802.0974575693174
7,Argentina,South America,South America,99.85714285714286,99.98571428571428,0.776998570987157,1.199574744802525,42.988640839846674,15.070300493348848,0.9159386370474986,0.5263457168779253,104330.0,591.0,14.974428571428572,0.0,0.0,0.6757928473608834,0.0,-0.27611258067190647,7.875,8.138857142857143,57.924935,0.0,0.0,0.0,29.8343,40.23776,21.223959999999998,2.0162857142857145,575851210855.4153,0.04001536198073019,12826.137537428356,26880.498602111362,0.6101704831123353,0.0,5.297275976295605,10.4566640772,76.39571428571428,0.08440387831385167,0.7015367790845176,16.37691121130166,0.5790451173655956,36.577985101982094,43.12960221460639,44908513.125,7.951625000000002,17.875,8.214,8.5795,37.0,1.855,1,0,0,0,3310,7.37054017082869
8,Armenia,Asia,Western Asia,97.82857142857142,99.91428571428571,1.8260212615132327,9.257400018302869,58.76270761202268,15.620201716092128,0.14978615052184327,3.291459161535119,48580.0,562.0,12.930428571428573,55.0154542538827,0.0,4.528386309742929,135.26418513429786,-0.2252128991240169,0.8500000000000001,10.912857142857144,72.4529375,19.34229373931886,99.55996595110211,0.0,20.019624999999998,48.973725,13.088215,1.58,12621796667.495378,5.0000000000602505,4244.932462814757,15847.535573827001,0.5775749197006222,2.8184035095303686,2.3133495229877483,58.58045861073333,73.95157142857144,0.04384384998601134,4.478503904039917,104.35144763911887,-0.05712627739409465,57.6072335308193,36.48072093913883,2973387.5,36.673875,4.5,4.794,16.607375,47.0,2.052,0,1,0,0,2120,71.29914953903587
9,Australia,Oceania,Oceania,100.0,100.0,0.5526528581976894,0.5620622101519573,46.776195143984104,4.002849706579026,1.2254086489714389,0.441954259375587,58580.0,534.0,12.200000000000001,60.01467955050973,0.0,0.2451900014254663,123.03590010405813,1.7458370774984362,0.7,6.628571428571428,80.726085,8.60051167011261,99.84893417358397,0.0,32.99107,31.27629,26.82461,1.685857142857143,1500661073280.2615,2.4706184634934303,59076.28231301378,57949.150634335965,0.784691163857778,2.831216846260002,0.8602658300418883,4.401664748033333,82.89965156794426,0.00779515165007752,1.9626100460392362,3.276691539692156,1.4095930042059688,22.506638730115675,61.18499832545863,25386198.25,13.806500000000002,2.375,10.181999999999999,5.09125,75.0,1.536,1,0,0,1,16330,64.32629194487599
